case_id,date_opened,case_status,last_action_date,date_closed,case_request,city,state,latitude,longitude
432680,2025-01-29T00:00:00.000,Closed,2025-07-28T00:00:00.000,,Miscellaneous Service Request,Berkeley,CA,37.8689765930176,-122.254264831543
456409,2025-01-22T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Miscellaneous - Engineering,Berkeley,CA,37.8801727294922,-122.264427185059
457215,2025-01-13T00:00:00.000,Closed,2025-09-17T00:00:00.000,2025-09-17T00:00:00.000,Miscellaneous,Berkeley,CA,37.8801727294922,-122.268333435059
459545,2025-01-26T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.879451751709,-122.262420654297
461530,2025-01-20T00:00:00.000,Closed,2025-08-25T00:00:00.000,2025-08-25T00:00:00.000,Miscellaneous,Berkeley,CA,37.8792533874512,-122.262321472168
467818,2025-02-19T00:00:00.000,Open,2026-06-01T00:00:00.000,,Potholes,Berkeley,CA,37.8695983886719,-122.252304077148
471511,2025-02-13T00:00:00.000,Closed,2025-11-13T00:00:00.000,2025-11-13T00:00:00.000,Storm Drain Problem/Maintenance,Berkeley,CA,37.877364,-122.257188
473091,2025-02-11T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Gutter Repair,Berkeley,CA,37.8652954101563,-122.266380310059
476057,2025-01-24T00:00:00.000,Open,2025-11-20T00:00:00.000,,Sign Repair and Reinstallation,Berkeley,CA,37.869282,-122.248908
479814,2025-02-24T00:00:00.000,Closed,2025-11-26T00:00:00.000,2025-11-26T00:00:00.000,Miscellaneous Service Request,Berkeley,CA,37.871253,-122.2677045
480683,2025-03-03T00:00:00.000,Closed,2026-02-09T00:00:00.000,2026-02-09T00:00:00.000,Telegraph Channing Way Loo,Berkeley,CA,37.867284,-122.25942
481137,2025-03-05T00:00:00.000,Closed,2025-08-08T00:00:00.000,2025-08-08T00:00:00.000,Illegal Dumping,Berkeley,CA,37.862613,-122.2658505
481196,2025-03-05T00:00:00.000,Closed,2025-08-25T00:00:00.000,2025-08-25T00:00:00.000,Miscellaneous Service Request,Berkeley,CA,37.870758,-122.2680015
481209,2025-03-05T00:00:00.000,Closed,2025-08-19T00:00:00.000,2025-08-19T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.874007,-122.2698375
481217,2025-03-05T00:00:00.000,Closed,2025-08-19T00:00:00.000,2025-08-19T00:00:00.000,Graffiti Abatement - Streets and Utilities,Berkeley,CA,37.880514,-122.267079
481242,2025-03-05T00:00:00.000,Closed,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,Graffiti Abatement,Berkeley,CA,37.869462,-122.2709625
481255,2025-03-05T00:00:00.000,Closed,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,Illegal Dumping,Berkeley,CA,37.877645491471839,-122.27149984144758
481269,2025-03-05T00:00:00.000,Closed,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.867779,-122.2537725
481284,2025-03-06T00:00:00.000,Closed,2025-12-23T00:00:00.000,2025-12-23T00:00:00.000,Removal of Homeless Possessions,Berkeley,CA,37.873305,-122.273208
481457,2025-03-06T00:00:00.000,Closed,2025-08-21T00:00:00.000,2025-08-21T00:00:00.000,Potholes,Berkeley,CA,37.873344744125987,-122.27320220671528
481458,2025-03-06T00:00:00.000,Closed,2025-08-21T00:00:00.000,2025-08-21T00:00:00.000,Potholes,Berkeley,CA,37.87341700985,-122.273017885977
481463,2025-03-07T00:00:00.000,Closed,2025-08-22T00:00:00.000,2025-08-22T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.866978,-122.2725195
481532,2025-03-07T00:00:00.000,Closed,2025-10-07T00:00:00.000,2025-10-07T00:00:00.000,Street Lights - Repair,Berkeley,CA,37.871027000000012,-122.267374
481562,2025-03-07T00:00:00.000,Closed,2025-10-24T00:00:00.000,2025-10-24T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.863549,-122.268591
481636,2025-03-08T00:00:00.000,Closed,2025-11-05T00:00:00.000,2025-11-05T00:00:00.000,Illegal Dumping,Berkeley,CA,37.878544611147937,-122.27395990059246
481638,2025-03-09T00:00:00.000,Closed,2025-12-16T00:00:00.000,2025-12-16T00:00:00.000,Illegal Dumping,Berkeley,CA,37.873528549124131,-122.27351243536563
482346,2025-03-13T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Tree Pruning,Berkeley,CA,37.877211,-122.2713315
482647,2025-03-17T00:00:00.000,Closed,2026-04-24T00:00:00.000,2026-04-24T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.862118,-122.253552
483487,2025-03-21T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.862555747618828,-122.26013165870515
483547,2025-03-24T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.87245,-122.273091
483654,2025-03-24T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.863594,-122.261112
483753,2025-03-24T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.863594,-122.261112
483767,2025-03-25T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Tree Removal,Berkeley,CA,37.88109,-122.2600545
483769,2025-03-25T00:00:00.000,Closed,2025-09-15T00:00:00.000,2025-09-15T00:00:00.000,Direct Line General - 311,Berkeley,CA,37.877868,-122.258124
483789,2025-03-25T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Mattress Program,Berkeley,CA,37.862199,-122.265315
483822,2025-03-25T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.876356,-122.2645635
483920,2025-03-25T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Tree Pruning,Berkeley,CA,37.875771,-122.2715115
483924,2025-03-25T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Mattress Program,Berkeley,CA,37.864656,-122.2529985
484025,2025-03-26T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Tree Removal,Berkeley,CA,37.865709,-122.263047
484039,2025-03-26T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Mattress Program,Berkeley,CA,37.862199,-122.265315
484091,2025-03-26T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.880292002245135,-122.26485348778718
484096,2025-03-26T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.876850152546623,-122.26728265821413
484104,2025-03-26T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.877193229778086,-122.27377775601792
484292,2025-03-27T00:00:00.000,Closed,2025-09-04T00:00:00.000,2025-09-04T00:00:00.000,Windows,Berkeley,CA,37.870083,-122.2718535
484318,2025-03-27T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.880653936286592,-122.27188957484724
484391,2025-03-28T00:00:00.000,Closed,2025-12-30T00:00:00.000,2025-12-30T00:00:00.000,Miscellaneous Service Request,Berkeley,CA,37.874808,-122.2652025
484488,2025-03-28T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Potholes,Berkeley,CA,37.8637459363377,-122.2698265932541
484612,2025-03-31T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.868778,-122.2727175
484636,2025-04-01T00:00:00.000,Closed,2025-11-11T00:00:00.000,2025-11-11T00:00:00.000,Tree Planting,Berkeley,CA,37.871523,-122.27112
484694,2025-04-01T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Tree Pruning,Berkeley,CA,37.883016,-122.27166
484807,2025-04-01T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.8832013332406,-122.2737599838584
484818,2025-04-01T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.879766515294513,-122.27059015831262
484881,2025-04-02T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.878417,-122.2691175
484906,2025-04-02T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Blue or Red Zone Install,Berkeley,CA,37.877967,-122.263317
484942,2025-04-02T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.862708170431787,-122.26013302634881
484960,2025-04-02T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.865322,-122.259042
484961,2025-04-02T00:00:00.000,Closed,2025-08-20T00:00:00.000,2025-08-20T00:00:00.000,Pedestrian Signals Repair,Berkeley,CA,37.876608,-122.2689105
484964,2025-04-02T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.864557,-122.2699185
484985,2025-04-03T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Tree Health Concerns - Insects and Disease,Berkeley,CA,37.875222,-122.2713855
485105,2025-04-03T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.880968783243006,-122.27387548809459
485321,2025-04-05T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.881570574030412,-122.27195579558277
485330,2025-04-05T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.863657,-122.2698105
485355,2025-04-06T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.876634537485273,-122.27229484813852
485392,2025-04-07T00:00:00.000,Closed,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.864008,-122.2573185
486544,2025-04-15T00:00:00.000,Closed,2025-10-06T00:00:00.000,2025-10-06T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.875999891462293,-122.26012174947
486545,2025-04-15T00:00:00.000,Closed,2025-10-06T00:00:00.000,2025-10-06T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.8772158679569,-122.25948353854378
486777,2025-04-16T00:00:00.000,Closed,2025-10-06T00:00:00.000,2025-10-06T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.87516606492688,-122.26007937848021
486778,2025-04-16T00:00:00.000,Closed,2025-10-06T00:00:00.000,2025-10-06T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.875222721803574,-122.26012209359976
487006,2025-04-18T00:00:00.000,Closed,2025-10-06T00:00:00.000,2025-10-06T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.876171658689,-122.265368658046
488466,2025-04-29T00:00:00.000,Closed,2025-08-19T00:00:00.000,2025-08-19T00:00:00.000,Miscellaneous - Transportation,Berkeley,CA,37.881882,-122.2707195
488784,2025-05-01T00:00:00.000,Closed,2025-12-29T00:00:00.000,2025-12-29T00:00:00.000,Illegal Dumping - City Property,Berkeley,CA,37.868981402575962,-122.27225928827347
