"case_id","date_opened","case_status","last_action_date","date_closed","case_request","city","state","latitude","longitude"
"467818","2025-02-19T00:00:00.000","Open","2026-06-01T00:00:00.000",,"Potholes","Berkeley","CA","37.8695983886719","-122.252304077148"
"471511","2025-02-13T00:00:00.000","Closed","2025-11-13T00:00:00.000","2025-11-13T00:00:00.000","Storm Drain Problem/Maintenance","Berkeley","CA","37.877364","-122.257188"
"476057","2025-01-24T00:00:00.000","Open","2025-11-20T00:00:00.000",,"Sign Repair and Reinstallation","Berkeley","CA","37.869282","-122.248908"
"479814","2025-02-24T00:00:00.000","Closed","2025-11-26T00:00:00.000","2025-11-26T00:00:00.000","Miscellaneous Service Request","Berkeley","CA","37.871253","-122.2677045"
"480683","2025-03-03T00:00:00.000","Closed","2026-02-09T00:00:00.000","2026-02-09T00:00:00.000","Telegraph Channing Way Loo","Berkeley","CA","37.867284","-122.25942"
"481284","2025-03-06T00:00:00.000","Closed","2025-12-23T00:00:00.000","2025-12-23T00:00:00.000","Removal of Homeless Possessions","Berkeley","CA","37.873305","-122.273208"
"481532","2025-03-07T00:00:00.000","Closed","2025-10-07T00:00:00.000","2025-10-07T00:00:00.000","Street Lights - Repair","Berkeley","CA","37.871027000000012","-122.267374"
"481562","2025-03-07T00:00:00.000","Closed","2025-10-24T00:00:00.000","2025-10-24T00:00:00.000","Illegal Dumping - City Property","Berkeley","CA","37.863549","-122.268591"
"481636","2025-03-08T00:00:00.000","Closed","2025-11-05T00:00:00.000","2025-11-05T00:00:00.000","Illegal Dumping","Berkeley","CA","37.878544611147937","-122.27395990059246"
"481638","2025-03-09T00:00:00.000","Closed","2025-12-16T00:00:00.000","2025-12-16T00:00:00.000","Illegal Dumping","Berkeley","CA","37.873528549124131","-122.27351243536563"
"482647","2025-03-17T00:00:00.000","Closed","2026-04-24T00:00:00.000","2026-04-24T00:00:00.000","Miscellaneous - Transportation","Berkeley","CA","37.862118","-122.253552"
"484391","2025-03-28T00:00:00.000","Closed","2025-12-30T00:00:00.000","2025-12-30T00:00:00.000","Miscellaneous Service Request","Berkeley","CA","37.874808","-122.2652025"
"484636","2025-04-01T00:00:00.000","Closed","2025-11-11T00:00:00.000","2025-11-11T00:00:00.000","Tree Planting","Berkeley","CA","37.871523","-122.27112"
"486544","2025-04-15T00:00:00.000","Closed","2025-10-06T00:00:00.000","2025-10-06T00:00:00.000","Miscellaneous - Transportation","Berkeley","CA","37.875999891462293","-122.26012174947"
"486545","2025-04-15T00:00:00.000","Closed","2025-10-06T00:00:00.000","2025-10-06T00:00:00.000","Miscellaneous - Transportation","Berkeley","CA","37.8772158679569","-122.25948353854378"
"486777","2025-04-16T00:00:00.000","Closed","2025-10-06T00:00:00.000","2025-10-06T00:00:00.000","Miscellaneous - Transportation","Berkeley","CA","37.87516606492688","-122.26007937848021"
"486778","2025-04-16T00:00:00.000","Closed","2025-10-06T00:00:00.000","2025-10-06T00:00:00.000","Miscellaneous - Transportation","Berkeley","CA","37.875222721803574","-122.26012209359976"
"487006","2025-04-18T00:00:00.000","Closed","2025-10-06T00:00:00.000","2025-10-06T00:00:00.000","Miscellaneous - Transportation","Berkeley","CA","37.876171658689","-122.265368658046"
"488784","2025-05-01T00:00:00.000","Closed","2025-12-29T00:00:00.000","2025-12-29T00:00:00.000","Illegal Dumping - City Property","Berkeley","CA","37.868981402575962","-122.27225928827347"
"490596","2025-05-13T00:00:00.000","Closed","2025-12-23T00:00:00.000","2025-12-23T00:00:00.000","Illegal Dumping - City Property","Berkeley","CA","37.868888673673915","-122.27259507745438"
"490744","2025-05-13T00:00:00.000","Closed","2025-12-16T00:00:00.000","2025-12-16T00:00:00.000","Illegal Dumping - City Property","Berkeley","CA","37.868962855895461","-122.27229520128968"
"490763","2025-05-13T00:00:00.000","Closed","2025-12-29T00:00:00.000","2025-12-29T00:00:00.000","Overgrown Vegetation/Turf","Berkeley","CA","37.868778","-122.2727175"
"490851","2025-05-14T00:00:00.000","Closed","2026-08-26T00:00:00.000","2026-08-26T00:00:00.000","Street Striping/Marking (Refresh)","Berkeley","CA","37.879373166833808","-122.26918754853419"
"491051","2025-05-14T00:00:00.000","Closed","2025-12-23T00:00:00.000","2025-12-23T00:00:00.000","Litter Pickup - Parks","Berkeley","CA","37.873305","-122.273208"
"491542","2025-05-16T00:00:00.000","Closed","2025-11-04T00:00:00.000","2025-11-04T00:00:00.000","Porta Potties - Parks","Berkeley","CA","37.868778","-122.2727175"
"491544","2025-05-16T00:00:00.000","Closed","2025-12-29T00:00:00.000","2025-12-29T00:00:00.000","Pressure Washing","Berkeley","CA","37.868778","-122.2727175"
"492385","2025-05-22T00:00:00.000","Closed","2025-12-29T00:00:00.000","2025-12-29T00:00:00.000","Litter Pickup - Parks","Berkeley","CA","37.868959928696334","-122.27250812010128"
"492701","2025-05-23T00:00:00.000","On Hold","2025-11-04T00:00:00.000",,"Mattress Program","Berkeley","CA","37.873989","-122.269977"
"492952","2025-05-27T00:00:00.000","Closed","2026-01-27T00:00:00.000","2026-01-27T00:00:00.000","Tree Planting","Berkeley","CA","37.862082","-122.250321"
"493457","2025-05-28T00:00:00.000","Closed","2025-10-23T00:00:00.000","2025-10-23T00:00:00.000","Plumbing","Berkeley","CA","37.873305","-122.273208"
"493574","2025-05-29T00:00:00.000","Closed","2025-11-03T00:00:00.000","2025-11-03T00:00:00.000","Irrigation System","Berkeley","CA","37.883943439683669","-122.26958529487399"
"494504","2025-06-03T00:00:00.000","Closed","2025-12-10T00:00:00.000","2025-12-10T00:00:00.000","Curb Repainting","Berkeley","CA","37.878291","-122.2716195"
