document_id,recorded_llm_label,traditional_prediction,recorded_rationale
CAMPUS-001,accessibility,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-002,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-003,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-004,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-005,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-006,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-007,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-008,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-009,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-010,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-011,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-012,transit,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-013,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-014,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-015,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-016,transit,transit,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-017,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-018,food,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-019,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-020,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-021,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-022,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-023,study_space,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-024,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-025,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-026,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-027,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-028,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-029,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-030,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-031,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-032,study_space,study_space,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-033,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-034,accessibility,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-035,safety,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-036,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-037,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-038,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-039,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-040,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-041,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-042,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-043,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-044,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-045,accessibility,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-046,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-047,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-048,accessibility,accessibility,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-049,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-050,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-051,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-052,services,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-053,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-054,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-055,food,food,Recorded classroom fixture; inspect the source text before accepting this label.
CAMPUS-056,food,safety,Recorded classroom fixture; inspect the source text before accepting this label.
