openalex_id,title,publication_year,cited_by_count,doi,primary_topic,primary_field,primary_domain,berkeley_authors,abstract,sample_year,sample_seed,source_query_cost_usd
W4391830815,Calcium impregnation during isochoric cold storage to improve postharvest preservation of fresh blueberries,2024,24,https://doi.org/10.1016/j.postharvbio.2024.112841,Postharvest Quality and Shelf Life Management,Agricultural and Biological Sciences,Life Sciences,Boris Rubinsky,"Isochoric cold storage can be used to extend the shelf-life of fresh produce by delaying senescence through storage at subfreezing temperatures as well as hinder microbial growth with pressure. The effect of isochoric impregnation with CaCl2 on qualitative parameters of blueberries during isochoric cold storage at −2.5 °C and refrigerated storage at 5 °C for four weeks was investigated in this study. The results showed the synergistic effect of calcium impregnation and isochoric cold storage on the quality of blueberries. Isochoric impregnated blueberries better retained their weight, had better mechanical properties and had higher nutrient contents (anthocyanins, total phenolics and antioxidant capacity) than non-impregnated blueberries refrigerated at 5 °C. The benefits of isochoric impregnation with CaCl2 were greater for samples stored under isochoric conditions than under refrigerated conditions. However, the impregnated refrigerated samples still had better quality properties than non-impregnated refrigerated samples. Furthermore, panelists found no significant differences in preference for any of the sensory attributes between fresh blueberries and impregnated blueberries. Also, isochoric cold storage inhibited the growth of mesophilic aerobic bacteria, yeasts and molds under isochoric and refrigerated storage conditions. In conclusion, this study showed the possibility of using isochoric cold storage with calcium impregnation to develop ready-to-eat fresh blueberries with higher nutrient content and extended shelf-life.",2024,211,0.0001
W4401690215,"Evolution, perception, and the mind",2024,2,https://doi.org/10.1007/s10339-024-01208-x,Action Observation and Synchronization,Psychology,Social Sciences,Jerome A. Feldman,"The classical mind-body problem persists as one of the deepest scientific mysteries. Despite the grand claims of the new AI, some of the most basic facts of human vision cannot be explained by current or proposed theories of brain structure and function. This paper reviews some well-known mysteries including the neural binding problem, blind sight, subjective experience and prosthetics. There is continuing progress, but the core mysteries of the mind seem to require fundamental advances for any reductionist resolution.",2024,211,0.0001
W4405306856,Cost of dengue in Colombia: A systematic review,2024,9,https://doi.org/10.1371/journal.pntd.0012718,Mosquito-borne diseases and control,Medicine,Health Sciences,Jaime A. Cardona‐Ospina,"BACKGROUND: Dengue is hyperendemic in Colombia. It imposes a substantial economic burden on patients, caregivers, society, and the national health system. We intend to identify and synthesize the evidence regarding the economic burden of dengue in Colombia. METHODS: A systematic review (PROSPERO CRD42021257985) of economic studies was performed. A comprehensive search was completed in PubMed, EMBASE, the Cochrane Library, the LILACS, and SciELO databases. Study selection and data extraction was made by two researchers. RESULTS: 160 records were identified. Of these, 14 studies were selected for data extraction. Direct medical cost of dengue is mainly represented by hospitalization (USD 823 to 1,754). The annual aggregated cost is near to USD 159.6 million, with ambulatory care (USD 90.1 million) and fatal cases (USD 30.7 million) representing 75% of the total cost. The aggregate indirect cost (due to loss in income while sick or as a caretaker) was USD 92.8 million. Vaccination seems to reduce the economic cost of dengue. CONCLUSIONS: Dengue financial burden could be challenging for low-income communities as those affected in Colombia. An integrated approach including vector control and the introduction of a vaccine for dengue has the potential to reduce the economic burden of the disease.",2024,211,0.0001
W4401553105,The role of deep hybridization in fern speciation: Examples from the Thelypteridaceae,2024,14,https://doi.org/10.1002/ajb2.16388,Fern and Epiphyte Biology,Agricultural and Biological Sciences,Life Sciences,Israel Borokini; Susan Fawcett,"PREMISE: Hybridization is recognized as an important mechanism in fern speciation, with many allopolyploids known among congeners, as well as evidence of ancient genome duplications. Several contemporary instances of deep (intergeneric) hybridization have been noted, invariably resulting in sterile progeny. We chose the christelloid lineage of the family Thelypteridaceae, recognized for its high frequency of both intra- and intergeneric hybrids, to investigate recent hybrid speciation between deeply diverged lineages. We also seek to understand the ecological and evolutionary outcomes of resulting lineages across the landscape. METHODS: By phasing captured reads within a phylogenomic data set of GoFlag 408 nuclear loci using HybPhaser, we investigated candidate hybrids to identify parental lineages. We estimated divergence ages by inferring a dated phylogeny using fossil calibrations with treePL. We investigated ecological niche conservatism between one confirmed intergeneric allotetraploid and its diploid progenitors using the centroid, overlap, unfilling, and expansion (COUE) framework. RESULTS: We provide evidence for at least six instances of intergeneric hybrid speciation within the christelloid clade and estimate up to 45 million years of divergence between progenitors. The niche quantification analysis showed moderate niche overlap between an allopolyploid species and its progenitors, with significant divergence from the niche of one progenitor and conservatism to the other. CONCLUSIONS: The examples provided here highlight the overlooked role that allopolyploidization following intergeneric hybridization may play in fern diversification and range and niche expansions. Applying this approach to other fern taxa may reveal a similar pattern of deep hybridization resulting in highly successful novel lineages.",2024,211,0.0001
W4392903942,Task Oriented Dialogue as a Catalyst for Self-Supervised Automatic Speech Recognition,2024,0,https://doi.org/10.1109/icassp48485.2024.10447164,Speech and dialogue systems,Computer Science,Physical Sciences,David M. Chan,"While word error rates of automatic speech recognition (ASR) systems have consistently fallen, natural language understanding (NLU) applications built on top of ASR systems still attribute significant numbers of failures to low-quality speech recognition results. Existing assistant systems collect large numbers of these unsuccessful interactions, but these systems usually fail to learn from these interactions, even in an offline fashion. In this work, we introduce CLC: Contrastive Learning for Conversations, a family of methods for contrastive fine-tuning of models in a self-supervised fashion, making use of easily detectable artifacts in unsuccessful conversations with assistants. We demonstrate that our CLC family of approaches can improve the performance of ASR models on OD3, a new public large-scale semi-synthetic meta-dataset of audio task-oriented dialogues, by up to 19.2%. These gains transfer to real-world systems as well, where we show that CLC can help to improve performance by up to 6.7% over baselines.<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">1</sup>",2024,211,0.0001
W4391095450,New Mexico 2023: Riding the Wave of Oil and Gas,2024,0,https://doi.org/10.5070/p2cjpp16163067,Atmospheric and Environmental Gas Dynamics,Environmental Science,Physical Sciences,Kim Seckler,"The 2023 legislative session was a long and productive one in New Mexico. The annual session required legislators to pass a budget while juggling the social and cultural issues of the day. On the budget front, lawmakers were fortunate to witness record breaking revenues as oil and gas production and receipts soared. Simultaneously, tax collections increased and the state economy finally completed its pandemic recovery. Record surpluses and rosy forecasts meant that lawmakers could significantly expand the state budget (over 13%) and still plot how to secure the state’s financial future. Education funding and capital outlay projects were the clear winners. On the social front, bills related to guns, crimes, abortion, and elections all shared the limelight with appropriations requests. At the end of the day, the 2023 legislature passed its largest ever annual budget, while also passing tax rebates and expanded tax credits. Lawmakers took steps towards stabilizing the long term flow of oil and gas money through permanent funds while, on the social front, strengthening abortion access, enacting safe storage gun laws, providing increased funds for public safety, and passing election code reforms.",2024,211,0.0001
W4400952610,Abstract 3039: <i>TOMM40</i> Knockdown In Macrophages Inhibits Oxidized LDL-induced NLRP3 Activation And Promotes Reverse Cholesterol Transport,2024,0,https://doi.org/10.1161/atvb.44.suppl_1.3039,Atherosclerosis and Cardiovascular Diseases,Immunology and Microbiology,Life Sciences,Neil Yang,"Atherogenesis has been shown to be promoted by activation of the NLRP3 inflammasome, a cytosolic innate immune sensor activated by a broad range of factors, including oxidized LDL (oxLDL). Our group has shown that hepatocyte knockdown of Translocase of Outer Mitochondrial Membrane 40 ( TOMM40), which encodes a key component of the mitochondrial importer TOM complex, results in increased levels of oxysterols that activate the transcription factors LXRα and β. As LXR agonists have been shown to inhibit NLRP3 activation, we tested whether TOMM40 knockdown reduces NLRP3 activation in THP-1 monocyte-derived macrophages. On stimulating these cells with both the NLRP3 activator Nigericin and oxLDL following TOMM40 knockdown by siRNA, we found that pro-inflammatory cytokine release and NLRP3 activation were significantly inhibited (Two-way ANOVA, p&lt;0.0001, n=6). We further showed that TOMM40 knockdown resulted in significant LXRβ upregulation (unpaired t-test, p=0.007, n=3), and reduced oxLDL-induced upregulation of both NLRP3 and CASP1 , which encodes a protein recruited in NLRP3 activation (One-way ANOVA, p=0.0007, n=3). Moreover, pre-treatment with an LXR antagonist, GSK2033, abrogated TOMM40 knockdown-induced NLRP3 inhibition, supporting our hypothesis that this inhibition is likely LXR dependent. Since LXRs are known to promote cholesterol efflux from macrophages, we also examined the effect of TOMM40 knockdown on expression of the cholesterol transporter genes, ABCA1, ABCG1, and SR-B1 , and found that ABCG1 and SR-B1 were significantly upregulated (unpaired t-test, p=0.02 and p=0.003 respectively, n=3). Taken together, these findings identify mechanisms by which TOMM40 knockdown exerts anti-inflammatory effects and promotes reverse cholesterol transport. While TOMM40 has been studied largely in relation to APOE and neurodegenerative disease due to its genomic location, we identify a novel potential impact of TOMM40 on atherogenesis.",2024,211,0.0001
W4392578375,Maximal reachable temperatures for Western Europe in current climate,2024,0,https://doi.org/10.5194/egusphere-egu24-11046,Plant Ecology and Soil Science,Environmental Science,Physical Sciences,Yi Zhang,"Human bodies, ecosystems and infrastructures display a non-linear sensibility to extreme temperatures occurring during heatwave events. Preparing for such events entails to know how high surface air temperatures can go. Here we examine the maximal reachable temperatures in Western Europe. Taking the July 2019 record-breaking heatwave as a case study and employing a flow analogues methodology, we find that temperatures exceeding 50&amp;#8201;&amp;#8728;C cannot be ruled out in most urban areas, even under current climate conditions. We analyze changes in the upper bound of surface air temperatures between the past (1940&amp;#8211;1980) and present (1981&amp;#8211;2021) periods. Our results show that the significant increase in daily maximum temperatures in the present period is only partially explained by the increase of the upper bound. Our results suggest that most of the warming of daily maximum surface temperatures result from strengthened diabatic surface fluxes rather than free troposphere warming.",2024,211,0.0001
W4402844916,Getting Down to Business: Chain Ownership and Fertility Clinic Performance,2024,10,https://doi.org/10.1287/mnsc.2023.02793,Reproductive Health and Technologies,Medicine,Health Sciences,Ambar La Forgia,"Acquisitions by corporate entities have fueled the growth of chain organizations in healthcare. A chain is a multiunit firm under the same ownership and management providing similar services in different locations. Chain ownership has been credited with boosting firm performance in the retail and service sectors but has been criticized for prioritizing profits over the well-being of patients in the healthcare sector. This paper finds that chain ownership improves healthcare outcomes in the market for in vitro fertilization (IVF). Using novel data on U.S. fertility clinics and difference-in-differences methods, we find that IVF cycles increase by 27.2%, and IVF success rates increase by 13.6% after acquisition by a fertility chain. We provide evidence that fertility chains facilitate resource and knowledge transfers needed to enhance quality and expand the IVF market. For example, acquired clinics change IVF processes and procedures to achieve the IVF gold standard of simultaneously reducing higher-risk multiple births and increasing singleton births. We discuss how the fertility sector’s relatively minimal market frictions and information asymmetries may incentivize chain owners to invest in quality. This paper was accepted by Stefan Scholtes, healthcare management. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2023.02793 .",2024,211,0.0001
W4405675564,Timing of Menarche and Menopause and Epigenetic Aging among U.S. Adults: Results from the National Health and Nutrition Examination Survey 1999-2002,2024,0,https://doi.org/10.1101/2024.12.19.24319271,"Birth, Development, and Health",Medicine,Health Sciences,Julianna Deardorff; Saher Daredia,"ABSTRACT Reproductive aging, including timing of menarche and menopause, influences long-term morbidity and mortality in women, yet underlying biological mechanisms remain poorly understood. Using DNA methylation-based biomarkers, we assessed associations of age at menarche (N=1,033) and menopause (N=658) with epigenetic aging in a nationally representative sample of women ≥50 years. Later age at menopause was associated with lower GrimAge epigenetic age deviation ( B = -0.10 years, 95% CI: -0.19, -0.02). No associations were observed for menarche timing. This suggests a connection between earlier menopause and biological aging, with potential clinical implications for identifying those at high risk for age-related disease.",2024,211,0.0001
