request_id,opened_at,closed_at,status,category,channel,district,hours_to_close,duration_note
101004549013,2026-08-03T13:00:05.000,2026-08-04T07:49:42.000,Closed,Street and Sidewalk Cleaning,Mobile,5,18.826944444444443,Recorded
101004549079,2026-08-03T15:00:10.000,2026-08-04T07:49:49.000,Closed,Street and Sidewalk Cleaning,Mobile,6,16.8275,Recorded
101004549237,2026-08-03T15:00:06.000,2026-08-05T17:55:34.000,Closed,Street and Sidewalk Cleaning,Mobile,6,50.92444444444445,Recorded
101004549378,2026-08-03T15:00:07.000,2026-08-04T07:50:15.000,Closed,Street and Sidewalk Cleaning,Mobile,5,16.835555555555555,Recorded
101004549417,2026-08-03T15:00:09.000,2026-09-02T22:09:53.000,Closed,Street and Sidewalk Cleaning,Mobile,6,727.1622222222222,Recorded
101004549467,2026-08-03T16:00:06.000,2026-08-04T07:50:34.000,Closed,Street and Sidewalk Cleaning,Mobile,5,15.841111111111111,Recorded
101004550219,2026-08-03T18:00:09.000,2026-08-04T07:50:43.000,Closed,Street and Sidewalk Cleaning,Web,5,13.842777777777778,Recorded
101004551255,2026-08-04T00:00:09.000,2026-08-04T07:50:58.000,Closed,Street and Sidewalk Cleaning,Mobile,5,7.8469444444444445,Recorded
101004551265,2026-08-03T00:05:31.000,2026-08-03T00:24:26.000,Closed,Sewer,Phone,6,0.31527777777777777,Recorded
101004551266,2026-08-03T00:08:17.000,2026-08-03T07:16:23.000,Closed,Parking Enforcement,Phone,1,7.135,Recorded
101004551273,2026-08-03T00:18:37.000,2026-08-10T08:10:19.000,Closed,Sidewalk and Curb,Mobile,4,175.86166666666668,Recorded
101004551274,2026-08-03T00:19:57.000,2026-08-03T14:06:50.000,Closed,General Request,Web,8,13.78138888888889,Recorded
101004551277,2026-08-03T00:23:52.000,2026-08-03T06:31:22.000,Closed,Noise,Web,10,6.125,Recorded
101004551284,2026-08-03T00:27:57.000,2026-08-11T19:33:16.000,Closed,Muni Employee Feedback,Phone,3,211.0886111111111,Recorded
101004551285,2026-08-03T00:28:33.000,2026-08-03T09:05:37.000,Closed,Parking Enforcement,Phone,10,8.617777777777778,Recorded
101004551287,2026-08-03T00:30:37.000,2026-08-03T09:16:33.000,Closed,Street and Sidewalk Cleaning,Phone,1,8.765555555555556,Recorded
101004551292,2026-08-03T00:37:09.000,2026-08-06T01:00:00.000,Closed,Damage Property,Mobile,3,72.38083333333333,Recorded
101004551294,2026-08-03T00:37:41.000,2026-08-03T06:31:22.000,Closed,Noise,Mobile,6,5.894722222222223,Recorded
101004551295,2026-08-03T00:37:47.000,2026-08-03T06:42:57.000,Closed,Sewer,Mobile,3,6.086111111111111,Recorded
101004551296,2026-08-03T00:37:35.000,2026-08-03T06:31:22.000,Closed,Noise,Mobile,9,5.896388888888889,Recorded
101004551297,2026-08-03T00:40:57.000,,Open,Street and Sidewalk Cleaning,Web,5,,No closure recorded
101004551298,2026-08-03T00:43:58.000,,Open,Graffiti Private,Web,8,,No closure recorded
101004551301,2026-08-03T00:51:05.000,2026-08-03T05:44:36.000,Closed,RPD General,Mobile,6,4.891944444444444,Recorded
101004551302,2026-08-03T00:52:57.000,2026-08-03T12:02:52.000,Closed,Graffiti Private,Web,8,11.165277777777778,Recorded
101004551303,2026-08-03T00:52:57.000,2026-08-03T12:05:27.000,Closed,Graffiti Private,Web,8,11.208333333333334,Recorded
101004551304,2026-08-03T00:53:37.000,2026-08-03T08:36:20.000,Closed,Parking Enforcement,Mobile,10,7.711944444444445,Recorded
101004551305,2026-08-03T00:53:53.000,2026-08-03T09:02:10.000,Closed,Parking Enforcement,Web,1,8.138055555555555,Recorded
101004551306,2026-08-03T00:55:13.000,2026-08-04T09:29:21.000,Closed,Streetlights,Mobile,10,32.568888888888885,Recorded
101004551308,2026-08-03T00:56:50.000,2026-08-03T11:59:31.000,Closed,Graffiti Private,Web,8,11.044722222222223,Recorded
101004551317,2026-08-03T01:06:05.000,2026-08-03T08:43:26.000,Closed,Parking Enforcement,Web,7,7.6225,Recorded
101004551324,2026-08-03T01:11:21.000,2026-08-03T09:21:04.000,Closed,Litter Receptacle Maintenance,Integrated Agency,9,8.161944444444444,Recorded
101004551338,2026-08-03T01:32:21.000,2026-08-04T08:56:54.000,Closed,Street and Sidewalk Cleaning,Phone,1,31.409166666666668,Recorded
101004551339,2026-08-03T01:37:08.000,2026-08-03T13:46:00.000,Closed,Noise,Mobile,3,12.147777777777778,Recorded
101004551340,2026-08-03T01:37:57.000,2026-08-03T12:08:48.000,Closed,Graffiti Private,Web,11,10.514166666666666,Recorded
101004551345,2026-08-03T01:45:44.000,2026-08-03T05:52:52.000,Closed,Encampment,Mobile,6,4.118888888888889,Recorded
