sup_dist,sup_dist_pad,sup_dist_name,sup_name
1,01,SUPERVISORIAL DISTRICT 1,Connie Chan
2,02,SUPERVISORIAL DISTRICT 2,Stephen Sherrill
3,03,SUPERVISORIAL DISTRICT 3,Danny Sauter
4,04,SUPERVISORIAL DISTRICT 4,Joel Engardio
5,05,SUPERVISORIAL DISTRICT 5,Bilal Mahmood
6,06,SUPERVISORIAL DISTRICT 6,Matt Dorsey
7,07,SUPERVISORIAL DISTRICT 7,Myrna Melgar
8,08,SUPERVISORIAL DISTRICT 8,Rafael Mandelman
9,09,SUPERVISORIAL DISTRICT 9,Jackie Fielder
10,10,SUPERVISORIAL DISTRICT 10,Shamann Walton
11,11,SUPERVISORIAL DISTRICT 11,Chyanne Chen
